Row_ID,Order_ID,Order_Date,Ship_Date,Customer_Name,Segment,City,Category,Product_Name,Sales,Quantity,Discount,Profit
1,ORD00001,12-10-2025,14-10-2025,Maria Baker,Consumer,Mumbai,Fashion,She Furniture,5498.41,3,0.13,617.97
2,ORD00002,28-02-2026,02-03-2026,Vicki Cuevas,Home Office,Mumbai,Beauty,Work Beauty,7120.19,9,0.41,-461.19
3,ORD00003,25-12-2024,30-12-2024,Mary Clark,Corporate,Mumbai,Beauty,Responsibility Beauty,2898.66,2,0.49,-538.55
4,ORD00004,16-07-2024,20-07-2024,Timothy Jefferson,Home Office,Bangalore,Electronics,Western Fashion,4391.45,3,0.2,125.44
5,ORD00005,15-02-2025,19-02-2025,Sarah Willis,Consumer,Bangalore,Grocery,Admit Furniture,3609.07,4,0.26,-50.19
6,ORD00006,07-01-2026,10-01-2026,Robin Meyer,Consumer,Delhi,Electronics,Perhaps Fashion,738.87,9,0.28,52.35
7,ORD00007,27-12-2025,02-01-2026,Scott Lyons,Home Office,Chennai,Beauty,Later Electronics,8564.97,1,0.02,-18.44
8,ORD00008,16-03-2025,20-03-2025,Stanley Gomez,Corporate,Delhi,Beauty,Guess Grocery,1701.45,2,0.17,525.3
9,ORD00009,22-03-2025,29-03-2025,Jeremy Garcia,Consumer,Delhi,Grocery,Former Beauty,2820.88,10,0.38,606.93
10,ORD00010,14-12-2025,21-12-2025,Pamela Jacobson,Consumer,Pune,Grocery,Heart Fashion,2253.19,5,0.1,35.8
11,ORD00011,21-12-2024,26-12-2024,Ashley Smith,Corporate,Bangalore,Grocery,Glass Grocery,7696.53,3,0.09,201.71
12,ORD00012,19-06-2024,25-06-2024,John Harrington,Home Office,Chennai,Beauty,Financial Furniture,424.72,10,0.07,-61.21
13,ORD00013,28-04-2026,29-04-2026,Erin Martin,Consumer,Pune,Electronics,Kind Furniture,9641.86,3,0.01,-1402.67
14,ORD00014,17-10-2025,20-10-2025,Timothy Carter,Corporate,Chennai,Furniture,Nature Electronics,6451.69,4,0.25,828
15,ORD00015,24-07-2025,31-07-2025,Jessica Baird,Home Office,Pune,Beauty,Become Grocery,6523.34,2,0.1,2220.16
16,ORD00016,11-09-2025,17-09-2025,David Yu,Corporate,Delhi,Furniture,Daughter Beauty,3453.66,10,0.3,765.56
17,ORD00017,16-07-2024,22-07-2024,Charles Adams,Home Office,Hyderabad,Grocery,These Beauty,6081,6,0.33,199.86
18,ORD00018,07-05-2024,08-05-2024,Jessica Lynn,Consumer,Pune,Fashion,Conference Electronics,9545.23,8,0.25,-1799.61
19,ORD00019,20-06-2024,23-06-2024,Mr. Michael Tapia MD,Consumer,Chennai,Furniture,Consider Furniture,1991.64,1,0.17,437.11
20,ORD00020,27-12-2025,28-12-2025,Timothy Wallace,Consumer,Chennai,Beauty,Despite Electronics,2056,8,0.16,-326.71
21,ORD00021,28-12-2024,30-12-2024,Ryan Mathews,Home Office,Chennai,Grocery,Yourself Electronics,7376.52,8,0.27,-531.66
22,ORD00022,08-07-2025,15-07-2025,Crystal Walker,Corporate,Delhi,Beauty,Authority Furniture,2923.32,2,0.36,7.4
23,ORD00023,05-01-2025,10-01-2025,Brian Allen,Home Office,Hyderabad,Electronics,Bar Fashion,9192.38,1,0.38,-1150.63
